auname
Peter Shaffer
Bruce Robinson
Santha Rama Rau
David Lean
Charles Fuller
Kurt Luedtke
Menno Meyjes
Leonard Schrader
William Kelley
Earl W. Wallace
Richard Boyle
Mark Medoff
Hesper Anderson
Lloyd Fonvielle
Mark Peploe
James Dearden
Nicholas Meyer
John Patrick Shanley
Norman Jewison
Ronald Bass
Barry Morrow
Barry Levinson
David Rayfiel
Anne Tyler
Frank Galati
Christopher Hampton
Chris Gerolmo
Chris Geroimo
Alan Parker
Kevin Wade
Ron Kovic
Dave Freeman
Tom Schulman
Phil Alden Robinson
Shane Connaughton
Jim Sheridan
Steven Zaillian
Paul W. Shapiro
Bruce Joel Rubin
Ted Tally
James Toback
Zachary Sklar
Pat Conroy
Becky Johnston
Clint Eastwood
David Webb Peoples
Neil Jordan
Aaron Sorkin
Rob Reiner
Ruth Prawer Jhabvala
Jeb Stuart
Andrew Davis
Roy Huggins
David Twohy
Walter Hill
David Giler
Robert Mark Kamen
Terry George
Jane Campion
Eric Roth
Richard Curtis
Mike Newell
Quentin Tarantino
Roger Avary
Paul Attanasio
Frank Darabont
Randall Wallace
Al Reinert
William Broyles
Chris Noonan
Anthony Minghella
Joel Coen
Ethan Coen
Jan Sardi
Scott Hicks
James Cameron
Mark Andrus
Simon Beaufoy
Simon Beaufor
Ben Affleck
Matt Damon
Gus Van Sant
Curtis Hanson
Brian Helgeland
Marc Norman
Tom Stoppard
Michael Hirst
Scott Frank
Robert Rodat
Terrence Malick
Alan Ball
John Irving
Michael Mann
M. Night Shyamalan
David H. Franzoni
William Nicholson
John Logan
Robert Nelson Jacobs
Richard LaGravenese
Steven Soderbergh
Susannah Grant
Stephen Gaghan
Akiva Goldsman
Julian Fellowes
James Fellowes
Rob Festinger
Todd Field
Fran Walsh
Peter Jackson
Philippa Boyens
Baz Luhrmann
Craig Pearce
Bill Condon
Jay Cocks
Kenneth Lonergan
David Hare
Stephen Sinclair
Peter Weir
John Collee
Gary Ross
Paul Haggis
David Magee
Marc Forster
James L. White
Taylor Hackford
Jimmy Whirlwind White
Alexander Payne
Jim Taylor (III)
Bobby Moresco
Diana Ossana
Ang Lee
Dan Futterman
Tony Kushner
William Monahan
Guillermo Arriaga Jordan
Guillermo Arriaga
Iris Yamashita
Michael Arndt
Jonathan Dayton
Peter Morgan
Ian McEwan
Diablo Cody
Tony Gilroy
Paul Thomas Anderson
Danny Boyle
Robin Swicord
Dustin Lance Black
John Lee Hancock
Neill Blomkamp
Terri Tatchell
Nick Hornby
Bob Peterson
Pete Docter
Tom McCarthy
Ronnie del Carmen
Sheldon Turner
Jason Reitman
David Seidler
Andres Heinz
Mark Heyman
John J. McLaughlin
Eric Johnson
Scott Silver
Paul Tamasy
David O. Russell
Christopher Nolan
Lisa Cholodenko
Stuart Blumberg
David Fincher
Lee Unkrich
Andrew Stanton
John Lasseter
Debra Granik
Anne Rosellini
Michel Hazanavicius
Jim Rash
Nat Faxon
Tate Taylor
Lee Hall
Chris Terrio
Michael Haneke
Michaelhaneke
Benh Zeitlin
Lucy Alibar
Claude-Michel Schonberg
Claude-Michel Schoenberg
Alain Boublil
Herbert Kretzmer
John Ridley
Eric Warren Singer
Billy Ray
Craig Borten
Melisa Wallack
Alfonso Cuarón
Jonás Cuarón
Spike Jonze
Bob Nelson
Jeff Pope
Steve Coogan
Terence Winter
Richard Linklater
Hugo Guinness
Wes Anderson
Graham Moore
Paul Webb
Anthony McCarten
Damien Chazelle
Josh Singer
Adam McKay
Charles Randolph
Matthew Charman
Steven Spielberg
Matt Charman
Brendan McCarthy
Nick Lathouris
George Miller
Ridley Scott
Drew Goddard
Mark L. Smith
Alejandro González Iñárritu
Emma Donoghue
Barry Jenkins (III)
Eric Heisserer
August Wilson
Andrew Knight
Robert Schenkkan
Taylor Sheridan
Saroo Brierley
Luke Davies
Guillermo del Toro
Vanessa Taylor
Jordan Peele
Greta Gerwig
Martin McDonagh
Nick Vallelonga
Peter Farrelly
Brian Currie
Joe Robert Cole
Ryan Coogler
Charlie Wachtel
David Rabinowitz
Kevin Willmott
Spike Lee
Deborah Davis
Tony McNamara
Will Fetters
Bradley Cooper
Todd Phillips
Noah Baumbach
