film_name,osyear,release_year,duration,imdb_rating,imdb_votes,film_id
Libeled Lady,1936,1936,98,7.9,7509,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
Mr. Deeds Goes to Town,1936,1936,115,7.9,20594,9a189d11-e4f6-4b2b-9762-702806ce4a85
Romeo and Juliet,1936,1936,125,6.5,1910,1b04f1e8-f46b-403f-a5df-89ebebb52e4a
San Francisco,1936,1936,115,7.2,5254,d9c9ba4b-4fcd-4253-ba8b-8a80ea852fb9
The Story of Louis Pasteur,1936,1936,86,7.3,2601,40acf99f-bc62-45ee-a766-0297530113d1
A Tale of Two Cities,1936,1935,128,7.8,5508,da9c58f7-84b6-4d02-a66a-b5b19d3eea7f
Three Smart Girls,1936,1936,84,6.7,1344,8866b966-f0a8-4881-88f6-ac7c24e9e1e5
The Life of Emile Zola,1937,1937,116,7.2,7771,0538990c-5cfe-4b21-b733-386740e5cbd6
The Awful Truth,1937,1937,90,7.7,18721,fe542b19-4de9-465d-8b97-19ff88872e56
Captains Courageous,1937,1937,117,8.0,9243,bb80b913-a013-4ff1-8c07-7e0ff28c4557
Dead End,1937,1937,93,7.3,7083,5df24f1d-57f8-4d1d-a15d-df07ea5715b1
The Good Earth,1937,1937,138,7.5,4753,6d9e1900-6589-43ae-b80f-863d03cbbdaa
In Old Chicago,1937,1938,95,6.8,2233,1957aeb5-48c9-423c-8a3d-1f918ba388d2
Lost Horizon,1937,1937,132,7.7,12513,20f2a079-71bd-4c1c-aff7-46237962b8cb
One Hundred Men and a Girl,1937,1937,84,6.8,1029,c3d7ac23-64c7-48e5-8aba-c2af3f5b23eb
Stage Door,1937,1937,92,7.8,8040,5a739df8-434b-46e9-82c0-9b8f71c9c946
A Star Is Born,1937,1937,111,7.3,9301,ea80da77-0642-48c5-a2eb-1d03fb856d2f
You Cant Take It with You,1938,1938,126,7.9,24466,7530ae81-5165-4431-8a05-5e3a75811021
The Adventures of Robin Hood,1938,1938,102,7.9,49004,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
Alexanders Ragtime Band,1938,1938,106,6.9,2042,a380741f-f2ba-415d-a5b5-f81f826f93a7
Boys Town,1938,1938,96,7.3,5449,ebce9bc4-4abc-4b48-929f-30a29b1edd7d
The Citadel,1938,1938,110,7.1,2047,84a31ac1-04d7-4810-af0a-b639d529f159
