prname
Famous Players-Lasky
Fox
The Caddo Company
Metro-Goldwyn-Mayer
Feature Productions
Paramount Famous Lasky
Universal
Cosmopolitan
Warner Bros.
RKO Radio
Paramount Publix
Samuel Goldwyn Productions
First National
Paramount
Columbia
London Films
20th Century
Jesse L. Lasky (production company)
20th Century-Fox
Selznick International Pictures
Warner Bros.-First National
Realization DArt Cinematographique
Hal Roach (production company)
Walter Wanger (production company)
Charles Chaplin Productions
Argosy-Wanger
Sol Lesser (production company)
Mercury
Ortus
Two Cities Films
Rainbow Productions
Liberty Films
J. Arthur Rank-Cineguild
J. Arthur Rank-Two Cities Films
J. Arthur Rank-Archers
Arthur Freed
Anatole Litvak and Frank McCarthy
George Stevens
Sam Zimbalist
Charles K. Feldman
Cecil B. DeMille
Stanley Kramer
Pandro S. Berman
John Huston John Woolf and James Woolf
John Ford and Merian C. Cooper
Buddy Adler
John Houseman
Frank Ross
William Wyler
Sam Spiegel
William Perlberg
Jack Cummings
Sol C. Siegel
Harold Hecht
Leland Hayward
Fred Kohlmar
Hal B. Wallis
Michael Todd
George Stevens and Henry Ginsberg
Charles Brackett
Henry Fonda and Reginald Rose
Jerry Wald
William Goetz
Arthur Hornblow Jr.
Jack L. Warner
Lawrence Weingarten
Otto Preminger
Henry Blanke
John Woolf and James Woolf
Billy Wilder
John Wayne
Bernard Smith
Fred Zinnemann
Robert Wise
Joshua Logan
Carl Foreman
Robert Rossen
Darryl F. Zanuck
Morton DaCosta
Aaron Rosenberg
Alan J. Pakula
Tony Richardson
Elia Kazan
Walter Wanger
Ralph Nelson
Stanley Kubrick
Walt Disney and Bill Walsh
Michael Cacoyannis
Joseph Janni
Carlo Ponti
Fred Coe
Lewis Gilbert
Norman Jewison
Ernest Lehman
Walter Mirisch
Warren Beatty
Arthur P. Jacobs
Lawrence Turman
John Woolf
Ray Stark
Martin Poll
Paul Newman
Anthony Havelock-Allan and John Brabourne
Jerome Hellman
John Foreman
Jacques Perrin and Ahmed Rachedi
Frank McCarthy
Ross Hunter
Bob Rafelson and Richard Wechsler
Howard G. Minsky
Ingo Preminger
Philip DAntoni
Stephen J. Friedman
Albert S. Ruddy
Cy Feuer
John Boorman
Bengt Forslund
Robert B. Radnitz
Tony Bill Michael Phillips and Julia Phillips
Francis Ford Coppola and Gary Kurtz
Ingmar Bergman
William Peter Blatty
Melvin Frank
Francis Ford Coppola Gray Frederickson and Fred Roos
Robert Evans
Francis Ford Coppola
Marvin Worth
Irwin Allen
Michael Douglas and Saul Zaentz
Martin Bregman and Martin Elfand
Richard D. Zanuck and David Brown
Robert Altman
Irwin Winkler and Robert Chartoff
Walter Coblenz
Robert F. Blumofe and Harold Leventhal
Howard Gottfried
Michael Phillips and Julia Phillips
Charles H. Joffe
Richard Roth
Gary Kurtz
Herbert Ross and Arthur Laurents
Barry Spikings Michael Deeley Michael Cimino and John Peverall
Alan Marshall and David Puttnam
Paul Mazursky and Tony Ray
Stanley R. Jaffe
Robert Alan Aurthur
Francis Ford Coppola Fred Roos Gray Frederickson and Tom Sternberg
Peter Yates
Tamara Asseyev and Alex Rose
Ronald L. Schwary
Bernard Schwartz
Jonathan Sanger
Claude Berri and Timothy Burrill
David Puttnam
Denis Héroux
Bruce Gilbert
Frank Marshall
Richard Attenborough
Steven Spielberg and Kathleen Kennedy
Edward Lewis and Mildred Lewis
Sydney Pollack and Dick Richards
James L. Brooks
Michael Shamberg
Philip S. Hobel
Saul Zaentz
John Brabourne and Richard B. Goodwin
Arlene Donovan
Norman Jewison Ronald L. Schwary and Patrick Palmer
Sydney Pollack
Steven Spielberg Kathleen Kennedy Frank Marshall and Quincy Jones
David Weisman
Edward S. Feldman
Arnold Kopelson
Burt Sugarman and Patrick J. Palmer
Robert Greenhut
Fernando Ghia and David Puttnam
Ismail Merchant
Jeremy Thomas
Stanley R. Jaffe and Sherry Lansing
Patrick J. Palmer and Norman Jewison
Mark Johnson
Lawrence Kasdan Charles Okun and Michael Grillo
Norma Heyman and Hank Moonjean
Frederick Zollo and Robert F. Colesberry
Douglas Wick
Richard D. Zanuck and Lili Fini Zanuck
A. Kitman Ho and Oliver Stone
Steven Haft Paul Junger Witt and Tony Thomas
Lawrence Gordon and Charles Gordon
Noel Pearson
Jim Wilson and Kevin Costner
Walter Parkes and Lawrence Lasker
Lisa Weinstein
Irwin Winkler
Edward Saxon Kenneth Utt and Ron Bozman
Don Hahn
Mark Johnson Barry Levinson and Warren Beatty
Barbra Streisand and Andrew S. Karsch
Clint Eastwood
Stephen Woolley
David Brown Rob Reiner and Andrew Scheinman
Martin Brest
Steven Spielberg Gerald R. Molen and Branko Lustig
Jim Sheridan
Jan Chapman
Mike Nichols John Calley and Ismail Merchant
Wendy Finerman Steve Tisch and Steve Starkey
Duncan Kenworthy
Lawrence Bender
Michael Jacobs Julian Krainin Michael Nozik and Robert Redford
Niki Marvin
Mel Gibson Alan Ladd Jr. and Bruce Davey
Brian Grazer
Bill Miller George Miller and Doug Mitchell
Mario Cecchi Gori Vittorio Cecchi Gori and Gaetano Daniele
Lindsay Doran
Ethan Coen
James L. Brooks Laurence Mark Richard Sakai and Cameron Crowe
Simon Channing-Williams
Jane Scott
James Cameron and Jon Landau
James L. Brooks Bridget Johnson and Kristi Zea
Uberto Pasolini
Curtis Hanson Arnon Milchan and Michael Nathanson
David Parfitt Donna Gigliotti Harvey Weinstein Edward Zwick and Marc Norman
Alison Owen Eric Fellner and Tim Bevan
Elda Ferri and Gianluigi Braschi
Steven Spielberg Ian Bryce Mark Gordon and Gary Levinsohn
Robert Michael Geisler John Roberdeau and Grant Hill
Bruce Cohen and Dan Jinks
Richard N. Gladstein
Frank Darabont and David Valdes
Pieter Jan Brugge and Michael Mann
Frank Marshall Kathleen Kennedy and Barry Mendel
Douglas Wick David Franzoni and Branko Lustig
David Brown Kit Golden and Leslie Holleran
William Kong Hsu Li-kong and Ang Lee
Danny DeVito Michael Shamberg and Stacey Sher
Edward Zwick Marshall Herskovitz and Laura Bickford
Brian Grazer and Ron Howard
Robert Altman Bob Balaban and David Levy
Graham Leader Ross Katz and Todd Field
Peter Jackson Fran Walsh and Barrie M. Osborne
Martin Brown Baz Luhrmann and Fred Baron
Martin Richards
Alberto Grimaldi and Harvey Weinstein
Scott Rudin and Robert Fox
Barrie M. Osborne Fran Walsh and Peter Jackson
Roman Polanski Robert Benmussa and Alain Sarde
Barrie M. Osborne Peter Jackson and Fran Walsh
Ross Katz and Sofia Coppola
Samuel Goldwyn Jr. Peter Weir and Duncan Henderson
Robert Lorenz Judie G. Hoyt and Clint Eastwood
Kathleen Kennedy Frank Marshall and Gary Ross
Clint Eastwood Albert S. Ruddy and Tom Rosenberg
Michael Mann and Graham King
Richard N. Gladstein and Nellie Bellflower
Taylor Hackford Stuart Benjamin and Howard Baldwin
Michael London
Paul Haggis and Cathy Schulman
Diana Ossana and James Schamus
Caroline Baron William Vince and Michael Ohoven
Grant Heslov
Steven Spielberg Kathleen Kennedy and Barry Mendel
Graham King
Alejandro González Iñárritu Steve Golin and Jon Kilik
Clint Eastwood Steven Spielberg and Robert Lorenz
David T. Friendly Peter Saraf and Marc Turtletaub
Andy Harries Christine Langan and Tracey Seaward
Scott Rudin Joel Coen and Ethan Coen
Tim Bevan Eric Fellner and Paul Webster
Lianne Halfon Mason Novick and Russell Smith
Jennifer Fox Kerry Orent and Sydney Pollack
Paul Thomas Anderson Daniel Lupi and JoAnne Sellar
Christian Colson
Kathleen Kennedy Frank Marshall and Ceán Chaffin
Ron Howard Brian Grazer and Eric Fellner
Anthony Minghella Sydney Pollack Donna Gigliotti and Redmond Morris
Kathryn Bigelow Mark Boal Nicolas Chartier and Greg Shapiro
Gil Netter Andrew A. Kosove and Broderick Johnson
Peter Jackson and Carolynne Cunningham
Finola Dwyer and Amanda Posey
Lee Daniels Sarah Siegel-Magness and Gary Magness
Joel Coen and Ethan Coen
Jonas Rivera
Daniel Dubiecki Ivan Reitman and Jason Reitman
Iain Canning Emile Sherman and Gareth Unwin
Danny Boyle John Smithson and Christian Colson
Scott Franklin Mike Medavoy and Brian Oliver
David Hoberman Todd Lieberman and Mark Wahlberg
Christopher Nolan and Emma Thomas
Gary Gilbert Jeffrey Levy-Hinte and Celine Rattray
Dana Brunetti Ceán Chaffin Michael De Luca and Scott Rudin
Darla K. Anderson
Joel Coen Ethan Coen and Scott Rudin
Alix Madigan and Anne Rosellini
Thomas Langmann
Jim Burke Alexander Payne and Jim Taylor
Scott Rudin
Brunson Green Chris Columbus and Michael Barnathan
Graham King and Martin Scorsese
Letty Aronson and Stephen Tenenbaum
Michael De Luca Rachael Horovitz and Brad Pitt
Sarah Green Bill Pohlad Dede Gardner and Grant Hill
Grant Heslov Ben Affleck and George Clooney
Margaret Menegoz Stefan Arndt Veit Heiduschka and Michael Katz
Dan Janvey Josh Penn and Michael Gottwald
Stacey Sher Reginald Hudlin and Pilar Savone
Gil Netter Ang Lee and David Womark
Tim Bevan Eric Fellner Debra Hayward and Cameron Mackintosh
Donna Gigliotti Bruce Cohen and Jonathan Gordon
Mark Boal Kathryn Bigelow and Megan Ellison
Brad Pitt Dede Gardner Jeremy Kleiner Steve McQueen and Anthony Katagas
Charles Roven Richard Suckle Megan Ellison and Jonathan Gordon
Scott Rudin Dana Brunetti and Michael De Luca
Robbie Brenner and Rachel Winter
Alfonso Cuarón and David Heyman
Megan Ellison Spike Jonze and Vincent Landay
Albert Berger and Ron Yerxa
Gabrielle Tana Steve Coogan and Tracey Seaward
Martin Scorsese Leonardo DiCaprio Joey McFarland and Emma Tillinger Koskoff
Alejandro G. Iñárritu John Lesher and James W. Skotchdopole
Clint Eastwood Andrew Lazar Robert Lorenz Bradley Cooper and Peter Morgan
Richard Linklater and Cathleen Sutherland
Wes Anderson Scott Rudin Steven M. Rales and Jeremy Dawson
Nora Grossman Ido Ostrowsky and Teddy Schwarzman
Christian Colson Oprah Winfrey Dede Gardner and Jeremy Kleiner
Tim Bevan Eric Fellner Lisa Bruce and Anthony McCarten
Jason Blum Helen Estabrook and David Lancaster
Blye Pagon Faust Steve Golin Nicole Rocklin and Michael Sugar
Dede Gardner Jeremy Kleiner and Brad Pitt
Steven Spielberg Marc Platt and Kristie Macosko Krieger
Doug Mitchell and George Miller
Simon Kinberg Ridley Scott Michael Schaefer and Mark Huffam
Arnon Milchan Steve Golin Alejandro G. Iñárritu Mary Parent and Keith Redmon
Ed Guiney
Adele Romanski Dede Gardner and Jeremy Kleiner
Shawn Levy Dan Levine Aaron Ryder and David Linde
Scott Rudin Denzel Washington and Todd Black
Bill Mechanic and David Permut
Carla Hacken and Julie Yorn
Donna Gigliotti Peter Chernin Jenno Topping Pharrell Williams and Theodore Melfi
Fred Berger Jordan Horowitz and Marc Platt
Emile Sherman Iain Canning and Angie Fielder
Matt Damon Kimberly Steward Chris Moore Lauren Beck and Kevin J. Walsh
Guillermo del Toro and J. Miles Dale
Peter Spears Luca Guadagnino Emilie Georges and Marco Morabito
Tim Bevan Eric Fellner Lisa Bruce Anthony McCarten and Douglas Urbanski
Emma Thomas and Christopher Nolan
Sean McKittrick Jason Blum Edward H. Hamm Jr. and Jordan Peele
Scott Rudin Eli Bush and Evelyn ONeill
JoAnne Sellar Paul Thomas Anderson Megan Ellison and Daniel Lupi
Amy Pascal Steven Spielberg and Kristie Macosko Krieger
Graham Broadbent Pete Czernin and Martin McDonagh
Jim Burke Charles B. Wessler Brian Currie Peter Farrelly and Nick Vallelonga
Kevin Feige
Sean McKittrick Jason Blum Raymond Mansfield Jordan Peele and Spike Lee
Ceci Dempsey Ed Guiney Lee Magiday and Yorgos Lanthimos
Gabriela Rodríguez and Alfonso Cuarón
Bill Gerber Bradley Cooper and Lynette Howell Taylor
Dede Gardner Jeremy Kleiner Adam McKay and Kevin Messick
Kwak Sin-ae and Bong Joon-ho
Sam Mendes Pippa Harris Jayne-Ann Tenggren and Callum McDougall
Peter Chernin Jenno Topping and James Mangold
Martin Scorsese Robert De Niro Jane Rosenthal and Emma Tillinger Koskoff
Carthew Neal Taika Waititi and Chelsea Winstanley
Todd Phillips Bradley Cooper and Emma Tillinger Koskoff
Amy Pascal
Noah Baumbach and David Heyman
David Heyman Shannon McIntosh and Quentin Tarantino
Frances McDormand Peter Spears Mollye Asher Dan Janvey and Chloé Zhao
David Parfitt Jean-Louis Livi and Philippe Carcassonne
Shaka King Charles D. King and Ryan Coogler
Ceán Chaffin Eric Roth and Douglas Urbanski
Christina Oh
Ben Browning Ashley Fox Emerald Fennell and Josey McNamara
Bert Hamelinck and Sacha Ben Harroche
Marc Platt and Stuart M. Besser
